,GAR-1,GAR-2,GAR-3,GAR-4,GAR-5,GRS-1,GRS-2,GRS-3,GRS-4,GRS-5,GRPH-1,GRPH-2,GRPH-3,GRPH-4,GRPH-5,GRPH-6,GRPH-7,GAP-1,GAP-2,GAP-3,GAP-4,GAF-1,GAF-2,IDS-1,EC-1,EC-2,EN-1,EN-2,EN-3,EN-4
155,1,0,1,1,0.991,0.407,1,0.33,0.996,0.275,1,1,1,0.54,1,1,0,1,0,1,1,0.014,0.986,0.24,1,1,1,1,1,1
162,0,0,1,1,0.991,0.407,1,0.33,0.996,0.275,1,1,1,0.055,1,1,1,1,1,1,1,0.945,0.986,0.24,1,1,1,1,1,1
165,0,0,0,1,0.991,0.407,1,0.33,0.996,0.275,0,0,1,0.006,1,1,0,1,0,1,1,0.014,0.986,0.28,1,1,1,1,1,1
166,0,0,1,1,0.991,0.407,1,0.33,0.996,0.275,1,0,1,0.018,1,1,1,1,1,1,1,0.055,0.986,0.28,1,1,1,1,1,1
168,0,0,1,1,0.991,0.407,1,0.33,0.996,0.275,1,1,1,0,1,1,1,1,0,1,1,0.055,0.986,0.28,1,1,1,1,1,1
169,0,1,0,1,0.991,0.407,1,0.33,0.996,0.275,1,1,0,0.002,1,1,0,1,0,1,1,0.055,0.986,0.231,1,1,1,1,1,1
170,0,0,1,1,0.991,0.407,1,0.33,0.996,0.275,1,1,1,0.055,1,1,1,1,0,1,1,0.014,0.986,0.231,1,1,1,1,1,1
173,0,0,1,1,0.991,0.407,1,0.33,0.996,0.275,1,1,1,0.003,1,1,1,1,0,1,1,0.055,0.986,0.231,1,1,1,1,1,1
174,0,0,1,1,0.991,0.407,1,0.33,0.996,0.275,1,1,1,0.072,1,1,0,1,1,1,1,0.945,0.986,0.231,1,1,1,1,1,1
217,0,0,1,1,0.991,0.094,1,0.33,0.493,0.018,1,1,1,0.017,1,1,0,1,0,1,1,0.014,0.986,0.961,1,1,1,1,1,1
245,0,0,1,1,0.991,0.086,0,0.33,0.94,0.317,1,0,1,0.094,1,1,1,1,0,1,1,0.055,0.986,0.02,0,1,1,1,1,1
251,0,0,0,1,0.991,0.086,0,0.33,0.94,0.317,0,1,1,0.5,1,1,1,1,0,1,1,0.014,0.986,0.404,0,1,1,1,1,1
253,0,0,1,1,0.991,0.086,0,0.33,0.94,0.317,1,1,1,0.846,1,1,1,1,0,1,1,0.055,0.986,0.404,0,1,1,1,1,1
258,0,0,1,1,0.991,0.086,0,0.33,0.94,0.317,1,1,1,0.945,1,1,1,1,0,1,1,0.014,0.986,0.438,0,1,1,1,1,1
259,0,1,1,1,0.991,0.086,0,0.33,0.94,0.317,1,0,1,0.43,1,1,1,1,0,1,1,0.014,0.986,0.438,0,1,1,1,1,1
260,0,0,1,1,0.991,0.086,0,0.33,0.94,0.317,1,1,1,0.968,1,1,1,1,1,1,1,0.055,0.986,0.404,0,1,1,1,1,1
261,0,0,1,1,0.991,0.086,0,0.33,0.94,0.317,0,0,1,0.042,1,1,1,1,0,1,1,0.945,0.986,0.19,0,1,1,1,1,1
262,0,0,1,1,0.991,0.086,0,0.33,0.94,0.317,1,0,1,0.986,1,1,1,1,0,1,0,0.055,0.986,0.19,0,1,1,1,1,1
263,0,0,1,1,0.991,0.086,0,0.33,0.94,0.317,1,0,1,0.024,1,1,1,1,0,1,1,0.014,0.986,0.19,0,1,1,1,1,1
265,0,0,1,1,0.991,0.086,0,0.33,0.94,0.317,1,0,1,0.5,1,1,1,1,0,1,1,0.055,0.986,0.092,1,1,1,1,1,1
4317,0,1,1,1,0.991,0.086,0,0.33,0.94,0.317,1,1,1,0.121,1,1,1,1,0,1,1,0.945,0.986,0.404,0,1,1,1,1,1
4584,0,0,1,1,0.991,0.086,0,0.33,0.94,0.317,1,0,1,0.014,1,1,0,1,1,1,1,0.014,0.986,0.404,0,1,1,1,1,1
625,0,0,1,1,0.991,0.035,1,0.5,0.996,0.673,0,1,1,0.638,1,1,1,1,1,1,1,0.055,0.986,0.631,0,1,1,1,1,1
156,0,0,1,1,0.991,0.407,1,0.33,0.996,0.275,1,0,1,0.121,1,1,0,1,0,1,1,0.014,0.986,0.24,1,1,1,1,1,1
157,0,1,1,1,0.991,0.407,1,0.33,0.996,0.275,1,0,1,0.995,1,1,0,1,0,1,1,0.055,0.986,0.24,1,1,1,1,1,1
160,0,1,1,1,0.991,0.407,1,0.33,0.996,0.275,1,0,1,0.028,1,1,0,1,0,1,1,0.945,0.986,0.24,1,1,1,1,1,1
164,0,0,1,1,0.991,0.407,1,0.33,0.996,0.275,1,0,1,0.018,1,1,0,1,1,1,1,0.014,0.986,0.28,1,1,1,1,1,1
167,0,1,1,1,0.991,0.407,1,0.33,0.996,0.275,1,1,1,0.003,1,1,1,1,1,1,1,0.014,0.986,0.166,1,1,1,1,1,1
172,0,0,1,1,0.991,0.407,1,0.33,0.996,0.275,1,1,1,0.055,1,1,1,1,1,1,1,0.014,0.986,0.231,1,1,1,1,1,1
175,0,0,1,1,0.991,0.407,1,0.33,0.996,0.275,0,1,1,0.032,1,1,1,1,0,1,1,0.014,0.986,0.231,1,1,1,1,1,1
203,0,0,1,1,0.991,0.094,1,0.33,0.493,0.018,1,1,1,0.014,1,1,1,1,0,1,1,0.055,0.986,0.112,1,1,1,1,1,1
213,0,1,1,1,0.991,0.094,1,0.5,0.493,0.018,1,1,1,0.5,1,1,1,1,1,1,1,0.945,0.986,0.112,1,1,1,1,1,1
225,0,1,1,1,0.009,0.051,0,0.33,0.996,0.005,1,0,0,0.011,1,1,0,1,0,1,1,0.014,0.986,0.141,1,0,1,1,0,1
226,0,0,1,1,0.991,0.051,0,0.33,0.996,0.005,1,1,1,0.003,1,1,1,1,1,1,1,0.014,0.986,0.451,0,1,1,1,0,1
231,0,0,1,1,0.991,0.051,0,0.33,0.996,0.005,1,1,1,0.072,1,1,1,1,1,1,1,0.055,0.986,0.451,0,1,1,1,0,1
234,0,0,1,1,0.991,0.051,0,0.33,0.996,0.005,1,1,1,0.006,1,1,0,1,1,1,1,0.055,0.986,0.246,0,1,1,1,0,1
239,0,0,1,1,0.991,0.051,0,0.33,0.996,0.005,1,1,1,0.058,1,1,0,1,0,1,1,0.014,0.986,0.451,0,1,1,1,0,1
241,0,0,1,1,0.991,0.051,0,0.33,0.996,0.005,1,1,1,0.757,1,1,0,1,0,1,1,0.014,0.986,0.141,1,1,1,1,0,1
257,0,0,1,1,0.991,0.086,0,0.33,0.94,0.317,1,1,1,0.018,1,1,1,1,1,1,1,0.945,0.986,0.438,0,1,1,1,1,1
264,0,0,1,1,0.991,0.086,0,0.33,0.94,0.317,1,1,1,0.022,1,1,0,1,0,1,1,0.055,0.986,0.197,0,1,1,1,1,1
4315,0,0,1,1,0.991,0.407,1,0.33,0.996,0.275,1,1,1,0.014,1,1,1,1,1,1,1,0.945,0.986,0.451,1,1,1,1,1,1
4438,0,1,1,1,0.991,0.029,0,0.5,0.996,0.756,1,1,1,0.001,1,1,1,1,0,1,1,0.055,0.986,0.327,0,1,1,1,1,1
4778,0,1,1,1,0.991,0.051,0,0.33,0.996,0.005,1,1,1,0.032,1,1,1,1,1,1,1,0.014,0.986,0.451,0,1,1,1,0,1
220,0,0,1,1,0.991,0.051,0,0.33,0.996,0.005,1,1,1,0.003,1,1,1,1,0,1,1,0.014,0.986,0.287,1,1,1,1,0,1
222,0,0,1,1,0.805,0.051,0,0.33,0.996,0.005,1,1,0,0.003,1,1,0,1,0,1,1,0.055,0.5,0.287,1,0,1,1,0,1
223,0,0,1,1,0.805,0.051,0,0.33,0.996,0.005,1,1,1,0.008,1,1,0,1,0,1,0,0.055,0.986,0.287,1,1,1,1,0,1
229,1,0,1,1,0.195,0.051,0,0.33,0.996,0.005,1,1,1,0.945,1,1,0,1,0,1,1,0.055,0.986,0.451,0,1,1,1,0,1
232,0,0,1,1,0.991,0.051,0,0.33,0.996,0.005,1,1,1,0.879,1,1,1,1,1,1,1,0.014,0.986,0.451,0,1,1,1,0,1
235,0,0,1,1,0.991,0.051,0,0.33,0.996,0.005,1,1,1,0.001,1,1,1,1,0,1,1,0.055,0.986,0.246,0,1,1,1,0,1
238,0,0,1,1,0.195,0.051,0,0.33,0.996,0.005,1,1,1,0.042,1,1,1,1,1,1,1,0.945,0.986,0.246,1,1,1,1,0,1
244,0,0,1,1,0.991,0.051,0,0.33,0.996,0.005,1,1,1,0.018,1,1,1,1,1,1,1,0.945,0.986,0.141,1,1,1,1,0,1
221,0,0,1,1,0.991,0.051,0,0.33,0.996,0.005,1,1,1,0.003,1,1,1,1,0,1,1,0.055,0.986,0.287,1,1,1,1,0,1
224,0,0,0,1,0.991,0.051,0,0.33,0.996,0.005,1,1,1,0.243,1,1,0,1,0,1,1,0.055,0.986,0.287,1,1,1,1,0,1
228,0,1,1,1,0.991,0.051,0,0.33,0.996,0.005,1,1,1,0.094,1,1,1,1,0,1,1,0.055,0.986,0.451,0,1,1,1,0,1
233,0,0,0,1,0.009,0.051,0,0.33,0.996,0.005,1,0,1,0.032,0,1,0,1,0,1,1,0.055,0.986,0.451,0,1,1,1,0,1
236,1,0,0,1,0.991,0.051,0,0.33,0.996,0.005,1,1,1,0.001,1,1,0,1,1,1,1,0.055,0.986,0.246,0,1,1,1,0,1
237,0,1,1,1,0.991,0.086,0,0.33,0.94,0.317,1,1,1,0.001,1,1,0,1,1,1,1,0.055,0.986,0.451,0,1,1,1,1,1
243,0,0,1,1,0.991,0.051,0,0.33,0.996,0.005,1,1,1,0.055,1,1,1,1,1,1,1,0.945,0.986,0.141,1,1,1,1,0,1
4578,0,0,0,1,0.991,0.051,0,0.33,0.996,0.005,0,1,1,0.57,1,1,1,1,1,1,1,0.055,0.986,0.287,1,1,1,1,0,1
246,0,0,1,1,0.991,0.086,0,0.33,0.94,0.317,1,1,1,0.032,1,1,1,1,1,1,1,0.945,0.986,0.02,1,1,1,1,1,1
247,0,0,1,1,0.991,0.086,0,0.33,0.94,0.317,1,1,1,1,1,1,0,1,0,1,1,0.055,0.986,0.02,0,1,1,1,1,1
248,0,0,1,1,0.991,0.086,0,0.33,0.94,0.317,1,1,1,0.362,1,1,0,1,0,1,1,0.055,0.986,0.404,0,1,1,1,1,1
249,0,0,1,1,0.009,0.086,0,0.33,0.94,0.317,1,1,0,0.001,1,1,0,1,0,1,1,0.014,0.986,0.438,0,1,1,1,1,1
250,0,0,1,1,0.991,0.086,0,0.33,0.94,0.317,1,1,1,0.018,1,1,0,1,0,1,1,0.014,0.986,0.404,0,1,1,1,1,1
254,0,0,1,1,0.991,0.086,0,0.33,0.94,0.317,1,1,1,0.906,1,1,1,1,0,1,1,0.945,0.986,0.092,1,1,1,1,1,1
255,0,0,1,1,0.991,0.086,0,0.33,0.94,0.317,1,1,1,0.001,1,1,1,1,0,1,1,0.014,0.986,0.092,0,1,1,1,1,1
341,0,0,1,1,0.991,0.243,0,0.5,0.965,0.74,1,0,1,0.757,1,1,0,1,0,1,1,0.945,0.986,0.577,0,1,1,1,0,1
4329,0,0,1,1,0.991,0.243,0,0.5,0.965,0.74,0,0,1,0.001,1,1,1,1,0,1,1,0.014,0.986,0.577,0,1,1,1,0,1
4627,0,0,1,1,0.991,0.018,0,0.33,0.117,0.991,1,0,1,0.994,1,1,1,1,0,1,1,0.055,0.986,0.367,0,1,1,1,0,1
621,0,0,1,1,0.991,0.243,0,0.5,0.965,0.74,1,0,1,0.121,1,1,1,1,0,1,1,0.945,0.986,0.041,0,1,1,1,0,1
626,0,0,1,1,0.991,0.018,0,0.33,0.117,0.991,1,0,1,0.001,1,1,1,1,0,1,1,0.014,0.986,0.041,0,1,1,1,0,1
627,0,0,1,1,0.991,0.243,0,0.5,0.965,0.74,1,0,1,0.006,1,1,0,1,0,1,1,0.055,0.986,0.041,0,1,1,1,0,1
628,0,0,1,1,0.991,0.018,0,0.33,0.117,0.991,0,0,1,0.055,1,1,1,1,0,1,1,0.014,0.986,0.041,0,1,1,1,0,1
629,0,0,1,1,0.991,0.018,0,0.33,0.117,0.991,1,0,1,0.5,1,1,1,1,0,1,1,0.055,0.986,0.041,0,1,1,1,0,1
