Código,GAR-1,GAR-2,GAR-3,GAR-4,GAR-5,GRS-1,GRS-2,GRS-3,GRS-4,GRS-5,GRS-6,GPRH-1,GPRH-2,GPRH-3,GPRH-4,GPRH-5,GPRH-6,GPRH-7,GAP-1,GAP-2,GAP-3,GAP-4,GAF-1,GAF-2,IDS,EC-1,EC-2
155,0,1,0,0,0%,54,0,BLANCO,0.7,0,2777,0,0,0,252.86,0,0,1,0,1,0,0,0.0%,60.0%,58.14,1,0
162,1,1,0,0,0%,54,0,BLANCO,0.7,0,2777,0,0,0,200,0,0,0,0,0,0,0,50.0%,60.0%,58.14,1,0
165,1,1,1,0,0%,54,0,BLANCO,0.7,0,2777,1,1,0,160,0,0,1,0,1,0,0,0.0%,60.0%,56.66,1,0
166,1,1,0,0,0%,54,0,BLANCO,0.7,0,2777,0,1,0,180,0,0,0,0,0,0,0,10.0%,60.0%,56.66,1,0
168,1,1,0,0,0%,54,0,BLANCO,0.7,0,2777,0,0,0,110,0,0,0,0,1,0,0,10.0%,60.0%,56.66,1,0
169,1,0,1,0,0%,54,0,BLANCO,0.7,0,2777,0,0,1,140.19,0,0,1,0,1,0,0,10.0%,60.0%,58.46,1,0
170,1,1,0,0,0%,54,0,BLANCO,0.7,0,2777,0,0,0,200,0,0,0,0,1,0,0,0.0%,60.0%,58.46,1,0
173,1,1,0,0,0%,54,0,BLANCO,0.7,0,2777,0,0,0,147,0,0,0,0,1,0,0,10.0%,60.0%,58.46,1,0
174,1,1,0,0,0%,54,0,BLANCO,0.7,0,2777,0,0,0,205,0,0,1,0,0,0,0,50.0%,60.0%,58.46,1,0
217,1,1,0,0,0%,74,0,BLANCO,0.7,280.28,4284,0,0,0,178,0,0,1,0,1,0,0,0.0%,60.0%,27.46,1,0
245,1,1,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,1,0,210,0,0,0,0,1,0,0,10.0%,60.0%,77.27,0,0
251,1,1,1,0,0%,75,1,BLANCO,0.7,139.7,2679,1,0,0,250,0,0,0,0,1,0,0,0.0%,60.0%,52.74,0,0
253,1,1,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,0,0,280,0,0,0,0,1,0,0,10.0%,60.0%,52.74,0,0
258,1,1,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,0,0,300,0,0,0,0,1,0,0,0.0%,60.0%,51.77,0,0
259,1,0,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,1,0,245,0,0,0,0,1,0,0,0.0%,60.0%,51.77,0,0
260,1,1,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,0,0,310,0,0,0,0,0,0,0,10.0%,60.0%,52.74,0,0
261,1,1,0,0,0%,75,1,BLANCO,0.7,139.7,2679,1,1,0,195,0,0,0,0,1,0,0,50.0%,60.0%,60.2,0,0
262,1,1,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,1,0,325,0,0,0,0,1,0,1,10.0%,60.0%,60.2,0,0
263,1,1,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,1,0,185,0,0,0,0,1,0,0,0.0%,60.0%,60.2,0,0
265,1,1,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,1,0,250,0,0,0,0,1,0,0,10.0%,60.0%,66.11,1,0
4317,1,0,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,0,0,215,0,0,0,0,1,0,0,50.0%,60.0%,52.74,0,0
4584,1,1,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,1,0,175,0,0,1,0,0,0,0,0.0%,60.0%,52.74,0,0
625,1,1,0,0,0%,85,0,BLANCO,0.8,5.13,1945,1,0,0,260,0,0,0,0,0,0,0,10.0%,60.0%,46.22,0,0
156,1,1,0,0,0%,54,0,BLANCO,0.7,0,2777,0,1,0,215,0,0,1,0,1,0,0,0.0%,60.0%,58.14,1,0
157,1,0,0,0,0%,54,0,BLANCO,0.7,0,2777,0,1,0,345,0,0,1,0,1,0,0,10.0%,60.0%,58.14,1,0
160,1,0,0,0,0%,54,0,BLANCO,0.7,0,2777,0,1,0,187.72,0,0,1,0,1,0,0,50.0%,60.0%,58.14,1,0
164,1,1,0,0,0%,54,0,BLANCO,0.7,0,2777,0,1,0,180,0,0,1,0,0,0,0,0.0%,60.0%,56.66,1,0
167,1,0,0,0,0%,54,0,BLANCO,0.7,0,2777,0,0,0,150,0,0,0,0,0,0,0,0.0%,60.0%,61.37,1,0
172,1,1,0,0,0%,54,0,BLANCO,0.7,0,2777,0,0,0,200,0,0,0,0,0,0,0,0.0%,60.0%,58.46,1,0
175,1,1,0,0,0%,54,0,BLANCO,0.7,0,2777,1,0,0,190,0,0,0,0,1,0,0,0.0%,60.0%,58.46,1,0
203,1,1,0,0,0%,74,0,BLANCO,0.7,280.3,4284,0,0,0,175,0,0,0,0,1,0,0,10.0%,60.0%,64.6,1,0
213,1,0,0,0,0%,74,0,BLANCO,0.8,280.3,4284,0,0,0,250,0,0,0,0,0,0,0,50.0%,60.0%,64.6,1,0
225,1,0,0,0,100%,81,1,Si,0.7,0,4924,0,1,1,170,0,0,1,0,1,0,0,0.0%,60.0%,62.73,1,1
226,1,1,0,0,0%,81,1,BLANCO,0.7,0,4924,0,0,0,150,0,0,0,0,0,0,0,0.0%,60.0%,51.38,0,0
231,1,1,0,0,0%,81,1,BLANCO,0.7,0,4924,0,0,0,205,0,0,0,0,0,0,0,10.0%,60.0%,51.38,0,0
234,1,1,0,0,0%,81,1,BLANCO,0.7,0,4924,0,0,0,160,0,0,1,0,0,0,0,10.0%,60.0%,57.91,0,0
239,1,1,0,0,0%,81,1,BLANCO,0.7,0,4924,0,0,0,201,0,0,1,0,1,0,0,0.0%,60.0%,51.38,0,0
241,1,1,0,0,0%,81,1,BLANCO,0.7,0,4924,0,0,0,270,0,0,1,0,1,0,0,0.0%,60.0%,62.73,1,0
257,1,1,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,0,0,180,0,0,0,0,0,0,0,50.0%,60.0%,51.77,0,0
264,1,1,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,0,0,183.49,0,0,1,0,1,0,0,10.0%,60.0%,59.91,0,0
4315,1,1,0,0,0%,54,0,BLANCO,0.7,0,2777,0,0,0,175,0,0,0,0,0,0,0,50.0%,60.0%,51.38,1,0
4438,1,0,0,0,0%,87,1,BLANCO,0.8,0.0,1741,0,0,0,130,0,0,0,0,1,0,0,10.0%,60.0%,55.09,0,0
4778,1,0,0,0,0%,81,1,BLANCO,0.7,0,4924,0,0,0,190,0,0,0,0,0,0,0,0.0%,60.0%,51.38,0,0
220,1,1,0,0,0%,81,1,BLANCO,0.7,0,4924,0,0,0,150,0,0,0,0,1,0,0,0.0%,60.0%,56.4,1,0
222,1,1,0,0,35%,81,1,BLANCO,0.7,0,4924,0,0,1,145,0,0,1,0,1,0,0,10.0%,30.0%,56.4,1,1
223,1,1,0,0,35%,81,1,BLANCO,0.7,0,4924,0,0,0,165,0,0,1,0,1,0,1,10.0%,60.0%,56.4,1,0
229,0,1,0,0,65%,81,1,BLANCO,0.7,0,4924,0,0,0,300,0,0,1,0,1,0,0,10.0%,60.0%,51.38,0,0
232,1,1,0,0,0%,81,1,BLANCO,0.7,0,4924,0,0,0,285,0,0,0,0,0,0,0,0.0%,60.0%,51.38,0,0
235,1,1,0,0,0%,81,1,BLANCO,0.7,0,4924,0,0,0,130,0,0,0,0,1,0,0,10.0%,60.0%,57.91,0,0
238,1,1,0,0,65%,81,1,BLANCO,0.7,0,4924,0,0,0,195,0,0,0,0,0,0,0,50.0%,60.0%,57.91,1,0
244,1,1,0,0,0%,81,1,BLANCO,0.7,0,4924,0,0,0,180,0,0,0,0,0,0,0,50.0%,60.0%,62.73,1,0
221,1,1,0,0,0%,81,1,BLANCO,0.7,0,4924,0,0,0,150,0,0,0,0,1,0,0,10.0%,60.0%,56.4,1,0
224,1,1,1,0,0%,81,1,BLANCO,0.7,0,4924,0,0,0,230,0,0,1,0,1,0,0,10.0%,60.0%,56.4,1,0
228,1,0,0,0,0%,81,1,BLANCO,0.7,0,4924,0,0,0,210,0,0,0,0,1,0,0,10.0%,60.0%,51.38,0,0
233,1,1,1,0,100%,81,1,BLANCO,0.7,0,4924,0,1,0,190,1,0,1,0,1,0,0,10.0%,60.0%,51.38,0,0
236,0,1,1,0,0%,81,1,BLANCO,0.7,0,4924,0,0,0,130,0,0,1,0,0,0,0,10.0%,60.0%,57.91,0,0
237,1,0,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,0,0,125,0,0,1,0,0,0,0,10.0%,60.0%,51.38,0,0
243,1,1,0,0,0%,81,1,BLANCO,0.7,0,4924,0,0,0,200,0,0,0,0,0,0,0,50.0%,60.0%,62.73,1,0
4578,1,1,1,0,0%,81,1,BLANCO,0.7,0,4924,1,0,0,255,0,0,0,0,0,0,0,10.0%,60.0%,56.4,1,0
246,1,1,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,0,0,190,0,0,0,0,0,0,0,50.0%,60.0%,77.27,1,0
247,1,1,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,0,0,404.89,0,0,1,0,1,0,0,10.0%,60.0%,77.27,0,0
248,1,1,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,0,0,240,0,0,1,0,1,0,0,10.0%,60.0%,52.74,0,0
249,1,1,0,0,100%,75,1,BLANCO,0.7,139.7,2679,0,0,1,130,0,0,1,0,1,0,0,0.0%,60.0%,51.77,0,0
250,1,1,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,0,0,180,0,0,1,0,1,0,0,0.0%,60.0%,52.74,0,0
254,1,1,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,0,0,290,0,0,0,0,1,0,0,50.0%,60.0%,66.11,1,0
255,1,1,0,0,0%,75,1,BLANCO,0.7,139.7,2679,0,0,0,130,0,0,0,0,1,0,0,0.0%,60.0%,66.11,0,0
341,1,1,0,0,0%,62,1,BLANCO,0.8,111.54,1784,0,1,0,270,0,0,1,0,1,0,0,50.0%,60.0%,47.8,0,0
4329,1,1,0,0,0%,62,1,BLANCO,0.8,111.54,1784,1,1,0,125,0,0,0,0,1,0,0,0.0%,60.0%,47.8,0,0
4627,1,1,0,0,0%,92,1,BLANCO,0.7,380.8,0,0,1,0,340,0,0,0,0,1,0,0,10.0%,60.0%,53.83,0,0
621,1,1,0,0,0%,62,1,BLANCO,0.8,111.54,1784,0,1,0,215,0,0,0,0,1,0,0,50.0%,60.0%,72.22,0,0
626,1,1,0,0,0%,92,1,BLANCO,0.7,380.8,0,0,1,0,125,0,0,0,0,1,0,0,0.0%,60.0%,72.22,0,0
627,1,1,0,0,0%,62,1,BLANCO,0.8,111.54,1784,0,1,0,160,0,0,1,0,1,0,0,10.0%,60.0%,72.22,0,0
628,1,1,0,0,0%,92,1,BLANCO,0.7,380.8,0,1,1,0,200,0,0,0,0,1,0,0,0.0%,60.0%,72.22,0,0
629,1,1,0,0,0%,92,1,BLANCO,0.7,380.8,0,0,1,0,250,0,0,0,0,1,0,0,10.0%,60.0%,72.22,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
